,bathrooms,bedrooms,building_size,car_spaces,deskripsi,land_size,lb,lokasi,lt,price,terdekat,empty,fasilitas,floors_total,price_conditions,year_built,maidrooms,maidbathrooms,electricity,deposit
20,2,3,200,1,"Rumah siap huni, Lantai 2, di Percetakan Negara, Jakarta Pusat, Rp. 2.1 M/Nepis
LT: 90 m2
LB: 200 m2
Hadap Barat
KT: 3, KM: 2
PLN: 2200
Air: PAM
SHM
Carpot 1 mobil
Depan jalan rumah bisa 3 mobil",90,200,Johar Baru,90,2.100.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",04/05/21,"Kitchen set
TV kabel
Pendingin ruangan (AC)
Air Panas
Telepon
Garasi
Keamanan 24 jam
Balkon
Taman bermain anak",2,680000000,2020,1,,,
21,2,3,78,1,"Dijual Cepat BU Rumah Minimalis Siap Huni di Johar Baru Jakarta Pusat

Alamat :
Jl. Teladan no.24B, Kel. Johar Baru, Kec. Johar Baru Jakarta Pusat",39,78,Johar Baru,39,620.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",04/05/21,"Kitchen set
TV kabel
Pendingin ruangan (AC)
Air Panas
Telepon
Garasi
Keamanan 24 jam
Balkon
Taman bermain anak",2,Nego,2018,1,,,
22,2,10,200,1,"Rumah 2 lantai
10 kamar tidur
2 kamar mandi luar
Baru selesai bangun",140,200,Johar Baru,140,2.000.000.000,"Stasiun Pasar Senen
Universitas YARSI
Pasar Pramuka
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",04/05/21,"Kitchen set
TV kabel
Pendingin ruangan (AC)
Air Panas
Telepon
Garasi
Keamanan 24 jam
Balkon
Taman bermain anak",2,Nego,2018,1,,,
23,2,3,110,1,"Dijual
Johar baru
Jakarta pusat
Lt 105
Lb 110
2 lantai
Kt 3
Km 2
Pln 1300
Shm
Jalan besar
Bebas banjir
Dkt ke cempaka putih
Dkt ke percetakan negara
Hrg 1,95M nego",105,110,Johar Baru,105,1.950.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",04/05/21,"Kitchen set
TV kabel
Pendingin ruangan (AC)
Air Panas
Telepon
Garasi
Keamanan 24 jam
Balkon
Taman bermain anak",2,Nego,2018,1,,,
24,4,6,185,1,"Dijual rumah murah johar baru jakarta pusat.

Spesivikasi.

Luas tanah 125m",125,185,Johar Baru,125,2.500.000.000,"Stasiun Pasar Senen
Pasar Pramuka
Plaza Atrium
Plaza Kenari Mas
Pasar Poncol
Atrium Plaza",07/05/19,"Kitchen set
Pagar penuh",2,Nego,2018,1,,,
25,2,2,60,1,"RUMAH TINGGAL  JAKARTA PUSAT NYAMAN

Rumah tinggal di pusat kota, daerah strategis Jakarta Pusat
Bebas banjir, lingkungan bersih
SHM",22,60,Johar Baru,22,725.000.000,"Stasiun Pasar Senen
Pasar Pramuka
Plaza Atrium
Plaza Kenari Mas
Pasar Poncol
Atrium Plaza",07/05/19,"Kitchen set
Pagar penuh",2,Nego,2018,1,,,
26,2,3,200,3,"Rumah Percetakan negara kawasan Bisnis Jakarta Pusat
Spesifikasi
LT/LB. 340/200m2
KT/KM. 3/2
Shm
Pam
Carport. 3
Harga. 4.9M",340,200,Johar Baru,340,4.900.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",07/05/19,"Kitchen set
Pagar penuh",2,Nego,2018,1,,,
27,4,5,250,2,"Dijual rumah baru renovasi di Johar Baru, Percetakan Negara, Cempaka Putih Jakarta Pusat
LT 219 m2
LB 250 m2
1,5 Lantai
5 KT
4 KM
Garasi 2 mobil
Listrik 2200
Air jetpump",219,250,Johar Baru,219,2.800.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",07/05/19,"Kitchen set
Pagar penuh",1,Nego,2018,1,,,
28,1,1,39,2,"Dijual Rumah Mungil, Johar Baru. Jakarta Pusat.
DI JUAL RUMAH TINGGAL

, Johar Baru, Johar Baru,Jakarta Pusat
LT/LB: 40 / 39 - 3 x 13
KT: 1
KM: 1
Tingkat: 1
Hadap: Timur
Listrik: 1300 watt
Ruang Keluarga, Dapur Basah, Dekat Sekolah, Dekat Rumah Sakit, Dekat Jalan Raya, Dekat Mall, Dekat Bank, Dekat SPBU, Pasar, Jalur Angkot
SHM

HARGA : Rp. 550.000.000 (Nego)",40,39,Johar Baru,40,550.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",07/05/19,"Kitchen set
Pagar penuh",1,Nego,2018,1,,,
29,2,4,162,2,"Dijual CepatRumah cantik minimalis,lokasi Jl Kampung Rawa kec.Johar baruBangunan tingkat 3SHM4 kt 2 km1 carportlt 54 (9x6)lb 162dapurruang tamudapurjln muka 2 mobillokasi ramaicocok untuk usahalistrik 1300 wattair tanahhadap baratHarga 1,2 M nego tipis",54,162,Johar Baru,54,1.200.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",07/05/19,"Kitchen set
Pagar penuh",1,Nego,2018,1,,,
