,kamar_mandi,kamar,lb,lt,tipe_property,price,sertifikat,deskripsi,lokasi,ada_garasi,pool,taman,electricity,floors_total,gym
393,2.0,4.0,75.0,75.0,Rumah,500000000.0,0,"di jual rumah murah daerah kota, 
jl. gajah mada ( belakang poskotanews/ bakmi gm) 
siap  huni jual murah 
5x 15 m2
1 1/2 lantai",Taman Sari,1,0,0,,2.0,0
394,3.0,4.0,231.0,231.0,Rumah,3000000000.0,1,"dijual rumah tua jl. talib ketapang utara gajah madah

luas tanah 231 m2   
ukuran 11 meter x 21 meter
sertifikat hak milik",Taman Sari,1,0,0,,2.0,0
395,4.0,5.0,135.0,62.0,Rumah,3500000000.0,1,"rumah dengan sertifikat shm, kondisi sangat terawat, harga nego

jalan depan rumah lebar ya bisa 2 mobil.

hanya 3 menit ke jalan raya hayam wuruk!
3 menit ke mall gajah mada
4 menit ke istana negara
6 menit ke monas
3 menit ke stasiun sawah besar

akses dekat kemana mana ya bos.",Taman Sari,1,0,0,,2.0,0
396,4.0,4.0,200.0,66.0,Rumah,2850000000.0,0,"rumah dijual di jalan hanura tanah sereal jakarta barat
masuk dr pos polisi ketapang
luas tanah 5.5 x 12 ( 66 m2 )
luas bangunan +/- 200 m2
lantai 3.5",Taman Sari,1,0,0,,2.0,0
397,4.0,6.0,135.0,56.0,Rumah,1400000000.0,0,"rumah 7*8 2,5 lantai
luas tanah 56
luas bangunan 135
kamar tidur 5
kamar mandi 3",Taman Sari,1,0,0,,2.0,0
398,8.0,13.0,180.0,92.0,Rumah,1700000000.0,0,"rumah kost di pusat kota jakarta barat, hampir selalu tersewa full.
daerah ramai, 2 lantai, berisi 12 kamar, 4 kamar ac dan wc dalam.
ada 1 ruang gudang yang juga selalu tersewa.
pln semua kamar sudah terpisah (token)",Taman Sari,1,0,0,,2.0,0
399,4.0,2.0,146.0,60.0,Rumah,2700000000.0,0,"dijual rumah / ruko di kebon jeruk, maphar, taman sari, jakarta barat.

uk.4x16 m
bangunan 3,5 lt plong
1 carport, 1 garasi",Taman Sari,1,0,1,,2.0,0
400,5.0,5.0,126.0,168.0,Rumah,4300000000.0,0,"kondisi rumah masih sangat bagus, layak huni, dan kokoh.

akses depan rumah bisa dua mobil lega banget (ga mepet dan bisa 2 arah). jalan depan rumah luas banget..

aman seperti komplek perumahan, tenang dan sunyi.",Taman Sari,1,0,0,,2.0,0
401,5.0,6.0,300.0,200.0,Rumah,3650000000.0,1,"jual bu rumah komplek dpr
di jual rumah tinggal

, pinangsia, taman sari,jakarta barat
lt/lb: 200 / 300 -
kt: 4+1
km: 3+1
tingkat: 2
hadap: utara
listrik: 3300 watt
ruang tamu, ruang keluarga, ruang makan, dapur basah, dapur kering, keamanan 24 jam, dekat sekolah, dekat rumah sakit, dekat jalan raya, dekat mall, dekat tempat ibadah, dekat bank, dekat spbu, dekat toll, pusat bisnis
shm

harga : rp. 3.650.000.000",Taman Sari,1,0,1,,2.0,0
402,3.0,4.0,189.0,230.0,lainnya,3000000000.0,0,"ukuran 10.5 x 22

- jalan 2 mobil kecil
- mangga besar yang sudah dekat dengan gajah mada raya
- harga tidak termasuk pajak, notaris dan biaya-biaya lain yang muncul saat transaksi",Taman Sari,1,0,0,,1.0,0
403,2.0,3.0,43.0,81.0,lainnya,1100000000.0,0,"#r234
lokasi strategis
1 menit ke gereja
2 menit dkat ke bank n atm
3 menit ke pasar tradisional",Taman Sari,1,0,0,,1.0,0
