,kamar_mandi,kamar,lb,lt,tipe_property,price,sertifikat,deskripsi,lokasi,ada_garasi,pool,taman,electricity,floors_total,gym
24,2,3,48.0,60.0,lainnya,600000000,1,"['terbaru!!!', none, 'cluster termurah dan termewah ', 'adipati residence sudimara @bintaro', none, 'promo khusus minggu ini sebelum harga naik!', none, '- diskon harga puluhan juta', '- free biaya surat2 ajb,bphtb,bbn,ppn,shm', '- free water heater', none, 'harga rp. 689 juta masih bisa nego keras. ', none, 'lokasi penunjang area site  :', '- 1 menit ke st.sudimara', '- 5 menit ke universitas pembangunan jaya', '- 8 menit ke tol pd.aren', '- 10 menit ke mall bxc', '- 12 menit ke rs international bintaro', '- 2 lantai 3kt 2km', '- one gate syestem', '- carport 2 mobil', '- keamanan 24 jam + cctv', '- lokasi pinggir aspal', none, 'langsung clbk = cash langsung booking kesini >>>segera survei lokasi dan booking unitnya sekarang juga!!!', none, 'hub segera : adha - marketing executive']",Cilandak,1,0,0,0.0,2.0,0
25,3,1,220.0,84.0,Rumah,2350000000,1,"['dijual rumah [hub: dhyana (fast response via wa ^_^)] free konsultasi kpr (bca, panin, uob, cimb, bni, danamon, permata, dll', none, 'rumah baru lokasi jelambar', 'uk 4x21m (84m2)', 'lb 220m2', 'surat shm', '1 kt ; 3 km', 'garasi', 'harga 2,35 m', none, 'harga nego', none, 'kpr bisa dibantu', none, 'info dan survey hub: dhyana', none, 'fast response via wa', none, '[hub: dhyana] segera hubungi kami untuk berkonsultasi dan mendapatkan semua informasi seputar properti pada area ini ( hot listing, harga pasaran, harga bu, dan lokasi terbaik ) - your best property service agency in indonesia. -dhy-']",Grogol Petamburan,1,0,0,0.0,,0
26,4,5,275.0,340.0,Rumah,4800000000,1,"['deskripsi', none, 'dijual murah rumah dalam komplek di lebak bulus jakarta selatan', none, 'detailnya:', ' luas tanah 340 m²', 'luas bangunan 275 m²', 'sertifikat : shm', '*harga : 4.8 m*', none, '4 km tidur (2 atas, 2 bawah) ', '3 km mandi (1 bawah, 2 atas)', '1 ruang tamu', '1 ruang keluarga', 'ruang makan,  dapur ', none, 'garasi 2 mbl', 'carport 2 mbl', '2 gudang', '1 km tidur pembantu & 1 mandi pembantu', '1 teras + taman depan, 1 teras + taman belakang ', 'listrik 4.400watt', 'ac', none, 'am']",Pancoran,1,0,1,4400,2.0,0
27,3,3,400.0,385.0,Rumah,8500000000,1,"['dijual rumah second terawat dan bersih semi furnish di kawasan cipete kebayoran baru dekat ke jl. fatmawati dan jl. pangeran antasari jakarta selatan. harga termurah dilokasi sekitar. ', none, 'harga rp. 8.5m nego', none, 'spesifikasi :', '- tanah 385 m2', '- bangunan +/- 400m2', '- kamar bawah 1+1', '- kamar atas 2+2                   ', '- disalah satu kamar atas ada ruang kerja', '- kamar pembantu 1+1', '- dapur bersih dan dapur kotor', '- ac setiap kamar', '- garasi 1 mobil', '- sertifikat shm dan imb ', '- carport 2 mobil ', '- bangunan tahun 2010', '- listrik 6000watt', none, '- selling point:', 'posisi rumah hook', 'dekat pasar tradisional cipete', 'dekat pusat perkantoran', 'dekat jln darmawangsa dan antasari', 'dekat dengan sd negeri 15 cipete', 'dekat dgn dharmawangsa essence apartment', none, 'hubungi :', 'jimmy ong c', 'vrd007', 'meeting point : rs brawijaya cipete', none, 'hanya melayani pembeli langsung tidak terima calo/agent', 'bisa titip jual / sewa']",Kebayoran Baru,1,0,0,6000,2.0,0
28,3,3,90.0,63.0,Rumah,1150000000,1,"['siapa yang cepat !!', none, 'tinggal dua unit', none, 'rumah baru di jagakarsa ', none, '# detail properti : ', none, 'kondisi: baru (indent 6 bulan)', none, 'kategori: rumah tinggal', none, 'pembayaran : cash dan kpr bank syariah indonesia', none, 'hadap : utara', none, 'tahun konstruksi : 2021', none, 'imb : ya', none, 'sertifikat : shm - sertifikat hak milik', none, 'kamar tidur : 3', none, 'jumlah lantai : 2', none, 'luas tanah (m²) : 63 ', none, 'kamar mandi : 3', none, 'karpot : 1 mobil', none, 'luas bangunan (m²) : 90 ', none, 'fasilitas tambahan : kamar utama, closet, taman, teras.', none, 'fasilitas utama : carport, hewan diperbolehkan, air tanah', none, 'fitur keamanan : pagar tertutup', none, '# area sekitar : ', 'pintu tol desari (brigif) hanya 5 menit , ', none, '#masjid', '50 meter ', none, '#transportasi umum ', 'angkutan umum m 20 ciganjur - pasar minggu', 'stasiun lenteng agung 10 menit', 'stasiun universitas pancasil 10 menit', none, '#pemadam kebakaran', none, 'rumah sakit : zahirah depok, rsia aulia', none, 'apotik', none, 'sekolah', none, 'kantor polisi polsek jagakarsa', none, '# spesifikasi', none, 'pondasi : batu kali', none, 'dinding : hebel', none, 'atap : konstruksi baja ringan', none, 'sanitari : american standart', none, 'genteng : beton (cisangkan)', none, 'daun pintu : panel solid', none, 'kusen : alumunium alexindo / setara', none, 'cat : dulux catylac', none, 'listrik : 2200 watt', none, 'pemipaan : wafin & rucika', none, 'air : sumur tanah & jetpump']",Kebayoran Baru,1,0,1,2200,2.0,0
29,5,6,600.0,968.0,Rumah,16500000000,1,"['deskripsi', none, 'jual cepat rumah di pejaten. rumah perlu direnovasi sedikit dijual murah. sekitar 2 tahun tidak ditempati. bangunan masih kokoh,biasa disewa expatriat', 'lokasi sangat bagus jalnan 6 m  seperti dapam komplek. akses dekat dengan kemang timur,mega kuningan,kebayoran baru.', none, 'spesifikasi :', 'luas tanah 968 m²', 'luas bangunan 600 m²', 'bangunan 2 lantai', 'kamar tidur 4+2', 'kamar mandi 4+1', 'ruang kerja', none, 'harga 16,5 m nego', none, 'am']",Pancoran,1,0,0,0.0,2.0,0
30,4,6,365.0,216.0,Rumah,3500000000,1,"['jual rumah ', 'di rawamangun, jakarta timur', none, 'bangunan 2 lantai', 'lt. 216 m²', 'lb. 365 m²', 'kt. 6', 'km.4', 'air : pam + jetpump', 'garasi 2 mobil', 'akses depan gang 1 mobil', 'hgb, bisa di upgrade shm ', none, '* 15meter ke jalan raya ', '* 50meter ke jalan raya balai pustaka, rawamangun', none, 'harga 3.5 m (nego)']",Pulo Gadung,1,0,0,0.0,2.0,0
31,2,3,75.0,249.0,Rumah,3700000000,1,"['dijual cepat rumah jalan haji nawi fatmawati selangkah ke mall pondok indah jakarta selatan,masuk mobil jalan bisa papasan 2 mobil dan sangat2 strategis sekali.', 'luas tanah 249mtr', 'luas bangunan -+160mtr', '1 lantai', 'bangunan berbentuk 2 rumah dengan spesifikasi *masing masing rumah* sbb :', 'luas tanah : @ +- 125 m2', 'luas bangunan : @ +- 75 m2', 'jml kmr tidur : @ 3 kt', 'jml kmr mandi : @ 2 km', 'carport 4 mobil', 'listrik @ 2200 watt', 'shm 1 sertifikat', 'lokasi tenang dan aman, dekat dengan pim , itc & station mrt h.nawi (cuma 3 menit).', 'harga : rp 3,7 milyar nego', 'peminat serius chat via wa']",Cilandak,1,0,0,2200,1.0,0
32,2,3,79.0,81.0,lainnya,1200000000,1,"['satu2nya township di sawangan seluas 102ha dgn danau alami seluas 26ha dgn kesempurnaan alam yg ada.', none, 'akses yg mudah dijangkau dgn infrastruktur yg lengkap, hny 20 menit dr jakarta :', none, '1. toll jorr 2 ( pintu toll pamulang )', none, '2. toll desari, depok antasari ( pintu toll sawangan )', none, '3. 30menit dr lebak bulus & pondok labu', none, '4. 15 menit ke mesjid kubah mas', none, '5. 10 menit ke mall the park sawangan', none, 'the terrace standart', none, 'l : 8 meter', none, 'p : 11 meter', none, '2 lantai', none, '2 kamar tidur', none, '2 kamar mandi', none, '2 carport', none, 'harga mulai 1,2m', none, 'the terrace luxe', none, 'l : 8', none, 'p : 11', none, '2 lantai', none, '3 kamar tidur', none, '3 kamar mandi', none, '2 carport', none, 'harga mulai 1,4m', none, 'the courtyard standart', none, 'lt : 112', none, 'lb : 109', none, 'p : 16', none, 'l : 7', none, '2 lantai', none, '3 kamar tidur', none, '4 kamar mandi', none, '2 carport', none, 'harga mulai 1.8m', none, 'the courtyard luxe', none, 'lt : 112', none, 'lb : 112', none, 'p : 16', none, 'l : 7', none, '2 lantai', none, '4 kamar tidur', none, '4 kamar mandi', none, '2 carport', none, 'harga mulai 2m', none, 'harga perdana segera booking nupnya sebesar 10jt sdh bs pilih unit, nup sdh mengurangi booking fee & booking fee sdh mengurangi dp. nikmati disc 3% dgn membeli nup priority 10jt.', none, 'pembayaran :', none, 'cash keras', none, 'cash bertahap 24x', none, 'kpr', none, 'free konsultasi 24 jam', none, 'my']",Cilandak,1,0,0,0.0,2.0,0
33,2,5,220.0,225.0,Rumah,6000000000,1,"['dijual cepat rumah di daerah jakarta barat, perbatasan dengan jakarta selatan.', none, 'dekat kantor media cetak jawa pos', none, 'tepat di pinggir jalan raya.', none, 'luas tanah 225 m2', none, 'luas bangunan 200 m2', none, 'cocok untuk cafe, kost, tempat usaha atau tempat tinggal', none, 'akses :', none, '1 km (3 menit) ke permata hijau,', none, '2.2 km (6 menit) ke kampus bina nusantara (binus) kemanggisan', none, '3.6 km (8 menit) ke pintu tol joglo 2 (lingkar luar)', none, '3.8 km (10 menit) ke mall senayan city', none, '5 km (12 menit) ke mall gandaria city', none, '5.2 km (15 menit) ke gelora bung karno', none, '7.9 km (19 menit) ke pondok indah mall', none, '25-28 km (30 menit) ke bandar udara soekarno hatta', none, 'harga : rp 6 m (nego)', none, 'ingin lihat lokasi', none, 'janjian terlebih dahulu']",Kebon Jeruk,1,0,0,0.0,2.0,0
