,kamar_mandi,kamar_tidur,luas_bangunan,luas_tanah,harga,kecamatan,garasi,kolam_renang,taman,gym,listrik,jumlah_lantai
2900,3,4,105.0,105.0,2000000000.0,Kelapa Gading,True,False,False,False,40000.0,1
2901,4,4,200.0,75.0,3000000000.0,Penjaringan,True,False,False,False,40000.0,3
2902,4,5,650.0,250.0,10300000000.0,Penjaringan,True,False,True,False,40000.0,3
2903,5,5,800.0,634.0,22500000000.0,Kelapa Gading,True,False,True,False,40000.0,4
2904,7,8,1500.0,450.0,33000000000.0,Kelapa Gading,True,False,False,False,40000.0,3
2905,18,17,114.0,105.0,3900000000.0,Kelapa Gading,True,False,False,False,40000.0,4
2906,7,8,300.0,381.0,13000000000.0,Kelapa Gading,True,True,False,False,40000.0,3
2907,6,5,180.0,90.0,1500000000.0,Tanjung Priok,True,False,False,False,40000.0,2
2908,3,4,111.0,125.0,1000000000.0,Cilincing,True,False,False,False,40000.0,1
2909,4,4,280.0,200.0,5800000000.0,Penjaringan,True,False,False,False,40000.0,2
2910,3,5,107.0,112.0,1400000000.0,Kelapa Gading,True,False,False,False,40000.0,1
2911,4,5,150.0,67.0,2100000000.0,Tanjung Priok,True,False,False,False,40000.0,3
2912,4,5,250.0,388.0,7000000000.0,Tanjung Priok,True,False,False,False,40000.0,2
2913,4,5,200.0,90.0,3900000000.0,Penjaringan,True,False,False,False,40000.0,3
2914,3,4,90.0,68.0,1800000000.0,Tanjung Priok,True,False,False,False,40000.0,2
2915,4,5,250.0,126.0,3500000000.0,Tanjung Priok,True,False,False,False,40000.0,2
2916,2,3,72.0,92.0,750000000.0,Cilincing,True,False,False,False,40000.0,1
2917,6,7,350.0,289.0,8499000000.0,Kelapa Gading,True,False,False,False,40000.0,3
2918,4,5,220.0,120.0,2600000000.0,Penjaringan,True,False,True,False,40000.0,2
2919,3,5,104.0,90.0,2800000000.0,Tanjung Priok,True,True,False,False,40000.0,2
2920,3,4,231.0,150.0,3900000000.0,Tanjung Priok,True,False,False,False,40000.0,2
2921,5,7,230.0,90.0,3200000000.0,Kelapa Gading,True,False,False,False,40000.0,4
2922,3,4,30.0,30.0,850000000.0,Tanjung Priok,True,False,False,False,40000.0,4
2923,2,4,45.0,70.0,1200000000.0,Tanjung Priok,True,False,False,False,40000.0,1
2924,4,5,200.0,153.0,3900000000.0,Kelapa Gading,True,False,False,False,40000.0,2
2925,3,5,90.0,90.0,1950000000.0,Kelapa Gading,True,False,False,False,40000.0,2
2926,5,5,180.0,108.0,3750000000.0,Penjaringan,True,False,False,False,40000.0,2
2927,2,3,70.0,70.0,1200000000.0,Tanjung Priok,True,False,False,False,40000.0,1
2928,18,17,300.0,146.0,4500000000.0,Tanjung Priok,True,False,False,False,40000.0,3
2929,6,13,170.0,102.0,2300000000.0,Kelapa Gading,True,False,False,False,40000.0,2
2930,2,3,65.0,65.0,850000000.0,Cilincing,True,False,False,False,40000.0,1
2931,4,5,168.0,98.0,1150000000.0,Cilincing,True,False,True,False,40000.0,2
2932,4,4,175.0,128.0,4100000000.0,Kelapa Gading,True,False,False,False,40000.0,2
2933,19,17,500.0,277.0,3000000000.0,Tanjung Priok,True,False,False,False,40000.0,2
2934,4,4,200.0,150.0,5000000000.0,Penjaringan,True,False,False,False,40000.0,2
2935,5,5,630.0,320.0,8000000000.0,Tanjung Priok,True,False,False,False,40000.0,2
2936,3,6,200.0,118.0,3500000000.0,Kelapa Gading,True,False,False,False,40000.0,2
2937,4,5,200.0,123.0,2200000000.0,Kelapa Gading,True,False,False,False,40000.0,2
2938,3,4,126.0,126.0,1400000000.0,Cilincing,True,False,False,False,40000.0,2
2939,3,3,56.0,45.0,1100000000.0,Kelapa Gading,True,False,True,True,40000.0,2
2940,3,4,162.0,421.0,7000000000.0,Tanjung Priok,True,False,False,False,40000.0,2
2941,4,5,200.0,126.0,4200000000.0,Tanjung Priok,True,False,False,False,40000.0,2
2942,5,5,400.0,200.0,7500000000.0,Penjaringan,True,False,False,False,40000.0,2
2943,2,3,96.0,60.0,2375000000.0,Penjaringan,True,False,False,False,40000.0,2
2944,4,4,128.0,102.0,2500000000.0,Kelapa Gading,True,False,False,False,40000.0,2
2945,3,4,207.0,144.0,4200000000.0,Tanjung Priok,True,False,False,False,40000.0,2
2946,6,6,900.0,409.0,12000000000.0,Kelapa Gading,True,False,False,False,40000.0,2
2947,3,4,140.0,180.0,1900000000.0,Kelapa Gading,True,False,False,False,40000.0,1
2948,4,6,200.0,180.0,2500000000.0,Koja,True,False,True,False,40000.0,2
2949,5,6,250.0,150.0,3400000000.0,Penjaringan,True,False,False,False,40000.0,2
2950,3,4,110.0,90.0,980000000.0,Kelapa Gading,True,False,False,False,40000.0,1
2951,3,4,430.0,220.0,4500000000.0,Penjaringan,True,False,False,False,40000.0,2
2952,4,5,250.0,90.0,3000000000.0,Penjaringan,True,False,False,False,40000.0,3
2953,6,6,450.0,136.0,7300000000.0,Pademangan,True,False,True,False,40000.0,4
2954,2,4,100.0,116.0,725000000.0,Cilincing,True,False,True,False,40000.0,1
2955,5,7,170.0,120.0,3800000000.0,Tanjung Priok,True,False,False,False,40000.0,2
2956,5,5,400.0,200.0,4750000000.0,Penjaringan,True,False,False,False,40000.0,2
2957,3,4,180.0,90.0,2700000000.0,Penjaringan,True,False,False,False,40000.0,2
2958,3,4,650.0,325.0,9000000000.0,Penjaringan,True,False,False,False,40000.0,4
2959,3,4,200.0,150.0,2800000000.0,Penjaringan,True,False,False,False,40000.0,1
2960,3,4,254.0,254.0,6500000000.0,Penjaringan,True,False,False,False,40000.0,1
2961,6,6,400.0,240.0,4250000000.0,Tanjung Priok,True,False,False,False,40000.0,2
2962,3,3,91.0,91.0,750000000.0,Cilincing,True,False,False,False,40000.0,1
2963,4,3,100.0,140.0,2200000000.0,Tanjung Priok,True,False,False,False,40000.0,1
2964,3,3,50.0,45.0,700000000.0,Penjaringan,True,False,False,False,40000.0,2
2965,4,4,201.0,160.0,4100000000.0,Penjaringan,True,False,False,False,40000.0,2
2966,3,5,200.0,247.0,2300000000.0,Tanjung Priok,True,False,False,False,40000.0,2
2967,3,4,73.0,60.0,1200000000.0,Penjaringan,True,False,True,True,40000.0,2
2968,3,4,220.0,184.0,1900000000.0,Cilincing,True,False,False,False,40000.0,2
2969,4,5,300.0,160.0,6000000000.0,Penjaringan,True,False,True,False,40000.0,3
2970,3,4,200.0,204.0,2750000000.0,Kelapa Gading,True,False,False,False,40000.0,2
2971,3,4,120.0,136.0,3150000000.0,Tanjung Priok,True,False,False,False,40000.0,1
2972,4,5,500.0,372.0,13000000000.0,Tanjung Priok,True,False,False,False,40000.0,3
2973,4,4,84.0,84.0,700000000.0,Cilincing,True,False,False,False,40000.0,2
2974,4,4,100.0,72.0,1400000000.0,Cilincing,True,False,False,False,40000.0,3
2975,6,6,450.0,360.0,5500000000.0,Pademangan,True,False,False,False,40000.0,2
2976,6,6,1500.0,900.0,48500000000.0,Penjaringan,True,False,False,False,40000.0,2
2977,3,6,150.0,75.0,850000000.0,Penjaringan,True,False,False,False,2300.0,3
2978,9,9,530.0,495.0,9000000000.0,Tanjung Priok,True,False,True,False,40000.0,3
2979,2,3,72.0,36.0,450000000.0,Kelapa Gading,True,False,False,False,40000.0,1
2980,4,4,250.0,280.0,6900000000.0,Penjaringan,True,False,False,False,40000.0,2
2981,3,4,270.0,90.0,2300000000.0,Penjaringan,True,False,False,False,40000.0,3
2982,2,3,48.0,70.0,1200000000.0,Tanjung Priok,True,False,False,False,40000.0,1
2983,2,3,54.0,90.0,750000000.0,Cilincing,True,False,False,False,40000.0,1
2984,5,6,260.0,384.0,12000000000.0,Kelapa Gading,True,False,False,False,40000.0,2
2985,3,4,75.0,75.0,1250000000.0,Kelapa Gading,True,False,False,False,40000.0,1
2986,7,6,846.0,1028.0,30000000000.0,Tanjung Priok,True,True,False,False,40000.0,3
2987,3,4,250.0,184.0,1600000000.0,Cilincing,True,False,False,False,40000.0,2
2988,4,5,150.0,75.0,1700000000.0,Penjaringan,True,False,False,False,40000.0,2
2989,5,5,500.0,350.0,11500000000.0,Penjaringan,True,False,False,False,40000.0,1
2990,2,3,36.0,52.0,550000000.0,Tanjung Priok,True,False,False,False,40000.0,1
2991,2,4,100.0,102.0,1900000000.0,Kelapa Gading,True,False,False,False,40000.0,1
2992,3,4,200.0,120.0,4200000000.0,Penjaringan,True,False,False,False,40000.0,3
2993,5,6,174.0,136.0,5300000000.0,Kelapa Gading,True,False,False,False,40000.0,4
2994,3,4,135.0,88.0,1700000000.0,Tanjung Priok,True,False,False,False,40000.0,2
2995,4,4,264.0,150.0,2700000000.0,Tanjung Priok,True,False,False,False,40000.0,2
2996,6,6,250.0,166.0,5800000000.0,Tanjung Priok,True,False,False,False,40000.0,3
2997,6,7,280.0,120.0,2500000000.0,Tanjung Priok,True,False,False,False,40000.0,3
2998,7,7,998.0,290.0,15500000000.0,Penjaringan,True,False,False,False,40000.0,4
2999,5,5,450.0,276.0,11500000000.0,Penjaringan,True,False,False,False,40000.0,2
3000,4,6,120.0,135.0,1800000000.0,Kelapa Gading,True,False,False,False,40000.0,1
3001,4,5,300.0,100.0,3900000000.0,Penjaringan,True,False,False,False,40000.0,3
3002,5,5,150.0,150.0,3800000000.0,Penjaringan,True,False,False,False,40000.0,2
3003,4,4,136.0,90.0,2500000000.0,Penjaringan,True,False,False,False,40000.0,2
3004,2,4,100.0,116.0,650000000.0,Cilincing,True,False,True,False,40000.0,1
3005,3,4,121.0,122.0,2300000000.0,Kelapa Gading,True,False,False,False,40000.0,3
