,index,kamar_mandi,kamar_tidur,luas_bangunan,luas_tanah,harga,kecamatan,garasi,kolam_renang,taman,gym,jumlah_lantai,listrik
5699,9014,5,6,300.0,205.0,5000000000.0,Cempaka Putih,True,False,False,False,3,2200.0
5700,9016,3,5,142.0,70.0,1800000000.0,Menteng,True,False,False,False,2,2200.0
5701,9021,9,9,480.0,800.0,150000000000.0,Menteng,True,False,True,False,1,2200.0
5702,9022,4,6,181.0,168.0,3000000000.0,Cempaka Putih,True,False,False,False,5,2200.0
5703,9024,4,7,150.0,182.0,1900000000.0,Johar Baru,True,False,True,False,1,2200.0
5704,9026,3,4,90.0,45.0,1100000000.0,Johar Baru,True,False,False,False,1,2200.0
5705,9027,3,4,170.0,92.0,1600000000.0,Johar Baru,True,False,False,False,1,2200.0
5706,9028,2,3,60.0,32.0,1057000000.0,Senen,True,False,False,False,1,2200.0
5707,9029,4,4,300.0,640.0,49500000000.0,Menteng,True,False,False,False,1,2200.0
5708,9030,2,3,600.0,720.0,59000000000.0,Menteng,True,False,True,False,1,2200.0
5709,9031,8,10,1100.0,445.0,34900000000.0,Menteng,True,True,False,False,1,2200.0
5710,9032,5,7,500.0,350.0,30000000000.0,Menteng,True,False,False,False,1,2200.0
5711,9035,2,6,160.0,90.0,1150000000.0,Gambir,True,False,False,False,2,2200.0
5712,9036,4,5,110.0,45.0,740000000.0,Tanah Abang,True,False,False,False,2,2200.0
5713,9037,2,4,53.0,30.0,550000000.0,Cempaka Putih,True,False,False,False,2,2200.0
5714,9038,2,10,260.0,260.0,3500000000.0,Kemayoran,True,False,False,False,1,2200.0
5715,9040,7,11,800.0,660.0,54000000000.0,Menteng,True,True,False,False,1,2200.0
5716,9041,6,8,800.0,763.0,70000000000.0,Menteng,True,True,False,True,2,2200.0
5717,9042,4,9,400.0,560.0,7500000000.0,Johar Baru,True,False,False,False,2,2200.0
5718,9044,4,5,81.0,52.0,1425000000.0,Kemayoran,True,False,False,False,2,2200.0
5719,9046,4,4,148.0,145.0,2900000000.0,Sawah Besar,True,False,False,False,3,2200.0
5720,9050,4,4,180.0,170.0,2900000000.0,Kemayoran,True,False,False,False,2,2200.0
5721,9051,4,4,140.0,120.0,2500000000.0,Sawah Besar,True,False,False,False,2,2200.0
5722,9063,8,8,1200.0,650.0,100000000000.0,Menteng,True,True,False,False,2,2200.0
5723,9071,3,3,110.0,50.0,750000000.0,Sawah Besar,True,False,False,False,2,2200.0
5724,9072,3,7,360.0,417.0,10500000000.0,Cempaka Putih,True,False,False,False,2,2200.0
5725,9075,5,6,350.0,280.0,9500000000.0,Tanah Abang,True,False,False,False,2,2200.0
5726,9129,6,4,500.0,120.0,6200000000.0,Kemayoran,True,False,False,False,3,13200.0
5727,9133,3,4,50.0,60.0,599999999.0,Kemayoran,True,False,False,False,2,13200.0
5728,9134,5,5,165.0,165.0,6000000000.0,Sawah Besar,True,False,False,False,3,13200.0
5729,9138,6,5,1000.0,424.0,55000000000.0,Menteng,True,False,False,False,2,13200.0
5730,9145,3,6,240.0,80.0,2000000000.0,Johar Baru,True,False,False,False,3,13200.0
5731,9148,6,5,195.0,85.0,2625000000.0,Kemayoran,True,False,False,False,3,13200.0
5732,9149,8,7,1000.0,460.0,55000000000.0,Menteng,True,False,False,False,4,13200.0
5733,9151,6,7,250.0,380.0,10000000000.0,Menteng,True,False,False,False,4,2200.0
5734,9153,5,5,220.0,110.0,3200000000.0,Kemayoran,True,False,False,False,4,2200.0
